ID	TechP	Temps	Date	Dist.m
1	1	Hook	Before	1971	400
2	1	Hook	After	2017	5000
3	2	Net	Before	2003	150
4	2	Net	After	2017	1000
5	3	Hook	Before	2010	150
6	3	Hook	After	2017	1000
7	4	Net	Before	1983	600
8	4	Net	After	2017	2100
9	5	Diving	After	2017	2500
10	5	Diving	Before	1983	2500
11	6	Diving	After	2017	4500
12	6	Diving	Before	2001	4500
13	7	Diving	Before	2012	50
14	7	Diving	After	2017	100
15	8	Hook	After	2017	250
16	8	Hook	Before	1992	250
17	9	Net	Before	2003	2000
18	9	Net	After	2017	4000
19	10	Diving	After	2017	2000
20	10	Diving	Before	1995	2000
21	11	Hook	Before	2002	10000
22	11	Hook	After	2017	50000
23	12	Diving	Before	2013	3500
24	12	Diving	After	2017	10000
25	13	Diving	Before	2011	3500
26	13	Diving	After	2017	10000
27	14	Trap	Before	1987	1500
28	14	Trap	After	1987	1500
31	16	Net	After	2017	200
32	16	Net	Before	1990	200
33	17	Hook	Before	2011	1000
34	17	Hook	After	2017	4000
35	18	Hook	Before	2000	1000
36	18	Hook	After	2017	2000
37	19	Net	After	2017	1000
38	19	Net	Before	2012	1000
39	20	Hook	After	2017	3000
40	20	Hook	Before	1994	3000
41	21	Hook	After	2017	3000
42	21	Hook	Before	2007	3000
43	22	Diving	Before	1994	500
44	22	Diving	After	2017	1000
45	23	Hook	Before	1982	1000
46	23	Hook	After	2017	8500
47	24	Hook	After	2017	3000
48	24	Hook	Before	1984	8000
49	25	Net	After	2017	3000
50	25	Net	Before	1991	3000
51	26	Diving	Before	1997	500
52	26	Diving	After	2017	1000
53	27	Hook	Before	2012	2500
54	27	Hook	After	2017	6000
55	28	Net	Before	1991	400
56	28	Net	After	2017	3000
57	29	Diving	After	2017	1500
58	29	Diving	Before	1995	1500
59	30	Diving	After	2017	7000
60	30	Diving	Before	1995	7000
61	31	Diving	After	2017	2500
62	31	Diving	Before	2010	2500
63	32	Trap	After	2017	15
64	32	Trap	Before	2000	15
65	33	Hook	After	2017	150
66	33	Hook	Before	1991	150
67	34	Diving	After	2017	1500
68	34	Diving	Before	1997	1500
69	35	Hook	Before	2014	10000
70	35	Hook	After	2017	15000
71	36	Net	After	2017	500
72	36	Net	Before	2007	500
73	37	Trap	Before	1983	100
74	37	Trap	After	1983	100
75	38	Hook	Before	2011	1000
76	38	Hook	After	2017	7000
77	39	Hook	After	2017	30
78	39	Hook	Before	1964	45
79	40	Hook	After	2017	2000
80	40	Hook	Before	1987	3000
81	41	Hook	After	2017	8000
82	41	Hook	Before	2012	8000
83	42	Net	Before	2007	100
84	42	Net	After	2017	300
85	43	Hook	After	2017	3000
86	43	Hook	Before	1983	7000
87	44	Hook	Before	1979	3000
88	44	Hook	After	2017	7000
89	45	Net	After	2017	100
90	45	Net	Before	1962	1000
91	46	Diving	After	2017	5
92	46	Diving	Before	2015	5
93	47	Hook	Before	1985	1000
94	47	Hook	After	2017	6500
95	48	Hook	Before	1977	1000
96	48	Hook	After	2017	5000
97	49	Net	Before	1982	200
98	49	Net	After	2017	3000
99	50	Hook	Before	2012	70
100	50	Hook	After	2017	300
101	51	Hook	Before	2011	2500
102	51	Hook	After	2017	5500
103	52	Hook	Before	1980	500
104	52	Hook	After	2017	3750
105	53	Net	After	2017	5000
106	53	Net	Before	2016	5000
107	54	Diving	Before	2002	20
108	54	Diving	After	2017	60
109	55	Net	Before	1997	500
110	55	Net	After	2017	2000
111	56	Trap	Before	1987	100
112	56	Trap	After	1987	100
115	58	Trap	Before	2002	1000
116	58	Trap	After	2002	1000
117	59	Trap	Before	2000	1000
118	59	Trap	After	2000	1000
119	60	Net	After	2017	600
120	60	Net	Before	2012	600
121	61	Net	Before	1983	2500
122	61	Net	After	2017	8500
123	62	Net	After	2017	2000
125	63	Hook	Before	1996	1000
126	63	Hook	After	2017	7500
127	64	Hook	After	2017	2000
128	64	Hook	Before	1980	2000
129	65	Hook	Before	2010	5000
130	65	Hook	After	2017	8500
131	66	Hook	Before	2000	163
132	66	Hook	After	2017	3000
133	67	Net	Before	1997	200
134	67	Net	After	2017	1000
135	68	Hook	Before	1994	2000
136	68	Hook	After	2017	5700
137	69	Hook	After	2017	4000
138	69	Hook	Before	1987	5000
139	70	Net	After	2017	500
140	70	Net	Before	2007	500
141	71	Diving	After	2017	200
142	71	Diving	Before	2015	200
143	72	Diving	After	2017	2000
144	72	Diving	Before	1989	2000
145	73	Hook	Before	1996	600
146	73	Hook	After	2017	2500
147	74	Hook	Before	1997	1000
148	74	Hook	After	2017	3000
149	75	Hook	After	2017	1650
150	75	Hook	Before	1997	1650
151	76	Diving	Before	2004	305
152	76	Diving	After	2017	320
153	77	Hook	Before	1987	500
154	77	Hook	After	2017	3500
155	78	Hook	Before	2011	3000
156	78	Hook	After	2017	7000
157	79	Diving	After	2017	1000
158	79	Diving	Before	2007	1000
159	80	Hook	Before	2002	45
160	80	Hook	After	2017	1000
161	81	Hook	Before	1970	500
162	81	Hook	After	2017	1000
163	82	Net	After	2017	4000
164	82	Net	Before	2007	4000
165	83	Net	Before	2000	2000
166	83	Net	After	2017	5000
167	84	Diving	Before	2004	1500
168	84	Diving	After	2017	4000
169	85	Diving	Before	1996	1500
170	85	Diving	After	2017	4000
171	86	Net	After	2017	6500
172	86	Net	Before	2009	6500
173	87	Hook	After	2017	22000
174	87	Hook	Before	2012	22000
175	88	Trap	Before	2017	1500
176	88	Trap	After	2004	1500
177	89	Diving	Before	2013	2602
178	89	Diving	After	2017	2603
179	90	Hook	Before	1977	5000
180	90	Hook	After	2017	15000
181	91	Hook	Before	2000	2615
182	91	Hook	After	2017	2640
183	92	Net	After	2017	2600
184	92	Net	Before	1987	2600
185	93	Hook	After	2017	1500
186	93	Hook	Before	1992	6000
191	96	Hook	Before	2001	2600
192	96	Hook	After	2017	4000
193	97	Hook	Before	2001	1000
194	97	Hook	After	2017	11000
195	98	Hook	Before	2007	1000
196	98	Hook	After	2017	10000
197	99	Hook	Before	2012	100
198	99	Hook	After	2017	30000
201	101	Hook	After	2017	14000
202	101	Hook	Before	1983	14000
203	102	Hook	After	2017	10000
204	102	Hook	Before	1986	10000
207	104	Hook	After	2017	10000
208	104	Hook	Before	2007	10000
209	105	Net	Before	1992	1000
210	105	Net	After	2017	7000
211	106	Hook	Before	1997	1500
212	106	Hook	After	2017	7000
213	108	Trap	Before	1983	3000
214	108	Trap	After	1983	3000
215	109	Hook	Before	2000	3000
216	109	Hook	After	2017	5000
217	110	Hook	Before	1989	3000
218	110	Hook	After	2017	5000
219	111	Diving	After	2017	4000
220	111	Diving	Before	2003	4000
