Fisher_ID	malagasy	Nom_courant	Family	Genus	species	Quantite	Year	Technique
59	73	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	150	1997	Hook
60	73	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	150	2007	Hook
61	27	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	60	2012	Hook
62	61	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	60	2007	Filets
63	68	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	60	2007	Hook
64	83	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	60	2007	Filets
65	9	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	40	2017	Filets
66	27	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	40	2017	Hook
67	28	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	40	2007	Filets
68	73	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	40	2017	Hook
69	61	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	30	2017	Filets
70	74	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	30	2007	Hook
71	18	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	25	2017	Hook
72	43	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	25	2017	Hook
73	61	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	20	1983	Filets
74	74	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	20	2017	Hook
75	38	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	15	2017	Hook
76	83	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	15	2017	Filets
77	18	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	11	2007	Hook
78	20	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	10	2017	Hook
79	81	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	3	2017	Hook
80	38	Ankasera	Barracuda	Sphyraenidae	Sphyraena	Sphyraena_barracuda	2	2012	Hook
140	52	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	350	2007	Filets
141	52	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	350	2017	Filets
142	61	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	300	2007	Filets
143	82	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	300	2007	Filets
144	82	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	300	2017	Filets
145	83	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	300	2007	Filets
146	83	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	300	2017	Filets
147	48	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	250	1977	Hook
148	44	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	200	1979	Hook
149	62	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	200	2017	Filets
150	45	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	150	1967	Filets
151	3	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	100	2017	Filets
152	28	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	100	2017	Filets
153	51	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	100	2017	Hook
154	61	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	100	2017	Filets
155	86	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	75	2009	Filets
156	86	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	75	2017	Filets
157	43	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	70	1983	Hook
158	25	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	60	2011	Filets
159	25	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	60	2017	Filets
160	55	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	60	2000	Filets
161	9	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	50	2009	Filets
162	9	Bonite	Bonite	Scombridae	Euthynnus	Euthynnus_affinis	50	2017	Filets
